Wkr-Nr.;Land;Wahlkreisname;Wahlberechtigte;Wähler;Ungültige;Ungültige;Gültige;Gültige;CDU;CDU;SPD;SPD;FDP;FDP;DIE LINKE;DIE LINKE;GRÜNE;GRÜNE;CSU;CSU;PIRATEN;PIRATEN;NPD;NPD;Tierschutzpartei;Tierschutzpartei;REP;REP;ÖDP;ÖDP;FAMILIE;FAMILIE;Bündnis 21/RRP;Bündnis 21/RRP;RENTNER;RENTNER;BP;BP;PBC;PBC;BüSo;BüSo;DIE VIOLETTEN;DIE VIOLETTEN;MLPD;MLPD;Volksabstimmung;Volksabstimmung;PSG;AfD;AfD;BIG;BIG;pro Deutschland;pro Deutschland;DIE RECHTE;DIE FRAUEN;FREIE WÄHLER;FREIE WÄHLER;Nichtwähler;PARTEI DER VERNUNFT;PARTEI DER VERNUNFT;Die PARTEI;Die PARTEI;Bergpartei;BGD;DKP;NEIN!;WGr/EB
;;;;;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen
23;HH;Hamburg-Bergedorf – Harburg;221887;142704;2089;1988;140615;140716;50044;47525;56867;49302;2234;4952;10595;11817;9088;12916;0;0;3198;3607;1446;1398;0;0;0;0;637;393;0;0;0;0;0;706;0;0;0;0;0;0;0;0;0;76;0;0;0;5448;6624;0;0;0;0;0;0;727;534;0;0;0;0;866;0;0;0;0;331
902;HH;Land;1281918;901213;11260;10384;889953;890829;305979;285927;336337;288902;17707;42869;66995;78296;94473;112826;0;0;22175;24505;5738;5658;0;0;0;0;637;1963;0;0;0;0;0;3819;0;0;0;0;0;0;0;0;135;423;0;0;0;29835;37142;0;0;0;0;0;0;3725;2856;0;0;0;3097;5643;0;0;0;0;3120
24;NI;Aurich – Emden;190987;134256;2217;1724;132039;132532;42737;43026;66348;58080;2085;4323;6373;6588;12627;11028;0;0;0;1900;0;1259;0;1065;0;110;0;0;0;0;0;0;0;0;0;0;0;160;0;0;0;0;0;35;0;0;0;0;4136;0;0;0;109;0;0;1869;713;0;0;0;0;0;0;0;0;0;0
25;NI;Unterems;232784;166959;2096;1645;164863;165314;90236;80616;51409;51079;4288;6537;6426;6771;8441;9506;0;0;0;2218;1656;1339;0;1070;0;91;0;0;0;0;0;0;0;0;0;0;0;281;0;0;0;0;0;24;0;0;0;0;4870;0;0;0;165;0;0;1820;747;0;0;0;0;0;0;0;0;0;587
26;NI;Friesland – Wilhelmshaven – Wittmund;190034;134162;2369;1760;131793;132402;52275;50796;58178;48011;3024;5670;6736;6814;7362;9731;0;0;0;2007;1680;1206;0;1194;0;87;0;0;0;0;0;0;0;0;0;0;0;82;0;0;0;0;0;70;0;0;0;0;5479;0;0;0;149;0;0;2538;1106;0;0;0;0;0;0;0;0;0;0
27;NI;Oldenburg – Ammerland;220409;163543;1748;1402;161795;162141;59525;57067;60547;52856;3966;8210;8794;10523;18552;20170;0;0;2669;2853;1093;1050;0;1308;0;54;0;0;0;0;0;0;0;0;0;0;0;132;0;0;0;0;0;62;0;0;0;5502;6833;0;0;0;100;0;0;1147;923;0;0;0;0;0;0;0;0;0;0
28;NI;Delmenhorst – Wesermarsch – Oldenburg-Land;227719;162698;2059;1911;160639;160787;63832;62620;63256;54848;5263;8035;7273;8814;9784;13059;0;0;2747;2577;1655;1612;0;1390;0;97;0;0;0;0;238;0;0;0;0;0;0;80;0;0;0;0;0;41;0;0;0;5292;6359;0;0;0;183;0;0;1299;1072;0;0;0;0;0;0;0;0;0;0
29;NI;Cuxhaven – Stade II;187640;137151;1490;1184;135661;135967;63431;59699;49395;45534;1872;4924;4904;6241;8326;9592;0;0;2120;1968;1306;1270;0;1074;0;43;0;0;0;0;273;0;0;0;0;0;0;101;0;0;0;0;0;42;0;0;0;4034;4753;0;0;0;140;0;0;0;586;0;0;0;0;0;0;0;0;0;0
30;NI;Stade I – Rotenburg II;194958;145131;1161;947;143970;144184;68545;64472;49111;44598;2505;6023;4878;6021;9099;11209;0;0;1985;2131;1457;1302;0;979;0;54;0;0;0;0;0;0;0;0;0;0;0;119;0;0;0;0;0;17;0;0;0;5632;6531;0;0;0;108;0;0;758;620;0;0;0;0;0;0;0;0;0;0
31;NI;Mittelems;228051;170444;1571;1206;168873;169238;99705;94923;48903;44069;2673;7032;4543;5107;8393;9160;0;0;0;2456;879;790;0;767;0;48;0;0;0;0;0;0;0;0;0;0;0;114;0;0;0;0;0;20;0;0;0;3777;4331;0;0;0;136;0;0;0;285;0;0;0;0;0;0;0;0;0;0
